"citizen","agedef","age","unit","sex","geo","time","values"
"UK","COMPLET","Y20-24","NR","F","BE",2019-01-01,31
"UK","COMPLET","Y20-24","NR","F","BG",2019-01-01,1
"UK","COMPLET","Y20-24","NR","F","DE",2019-01-01,130
"UK","COMPLET","Y20-24","NR","F","ES",2019-01-01,4
"UK","COMPLET","Y20-24","NR","F","FI",2019-01-01,2
"UK","COMPLET","Y20-24","NR","F","IE",2019-01-01,3
"UK","COMPLET","Y20-24","NR","F","IS",2019-01-01,0
"UK","COMPLET","Y20-24","NR","F","LI",2019-01-01,0
"UK","COMPLET","Y20-24","NR","F","LT",2019-01-01,0
"UK","COMPLET","Y20-24","NR","F","LU",2019-01-01,11
"UK","COMPLET","Y20-24","NR","F","MT",2019-01-01,5
"UK","COMPLET","Y20-24","NR","F","NO",2019-01-01,0
"UK","COMPLET","Y20-24","NR","F","PL",2019-01-01,0
"UK","COMPLET","Y20-24","NR","F","PT",2019-01-01,1
"UK","COMPLET","Y20-24","NR","F","SE",2019-01-01,25
"UK","COMPLET","Y20-24","NR","F","SI",2019-01-01,0
"UK","COMPLET","Y20-24","NR","F","UK",2019-01-01,0
"UK","COMPLET","Y20-24","NR","M","AT",2019-01-01,0
"UK","COMPLET","Y20-24","NR","M","BE",2019-01-01,21
"UK","COMPLET","Y20-24","NR","M","BG",2019-01-01,0
"UK","COMPLET","Y20-24","NR","M","DE",2019-01-01,100
"UK","COMPLET","Y20-24","NR","M","ES",2019-01-01,3
"UK","COMPLET","Y20-24","NR","M","FI",2019-01-01,2
"UK","COMPLET","Y20-24","NR","M","IE",2019-01-01,3
"UK","COMPLET","Y20-24","NR","M","IS",2019-01-01,0
"UK","COMPLET","Y20-24","NR","M","LI",2019-01-01,0
"UK","COMPLET","Y20-24","NR","M","LT",2019-01-01,0
"UK","COMPLET","Y20-24","NR","M","LU",2019-01-01,6
"UK","COMPLET","Y20-24","NR","M","MT",2019-01-01,1
"UK","COMPLET","Y20-24","NR","M","NO",2019-01-01,0
"UK","COMPLET","Y20-24","NR","M","PL",2019-01-01,0
"UK","COMPLET","Y20-24","NR","M","PT",2019-01-01,1
"UK","COMPLET","Y20-24","NR","M","SE",2019-01-01,25
"UK","COMPLET","Y20-24","NR","M","SI",2019-01-01,0
"UK","COMPLET","Y20-24","NR","M","UK",2019-01-01,0
"UK","COMPLET","Y20-24","NR","T","AT",2019-01-01,1
"UK","COMPLET","Y20-24","NR","T","BE",2019-01-01,52
"UK","COMPLET","Y20-24","NR","T","BG",2019-01-01,1
"UK","COMPLET","Y20-24","NR","T","DE",2019-01-01,230
"UK","COMPLET","Y20-24","NR","T","ES",2019-01-01,7
"UK","COMPLET","Y20-24","NR","T","FI",2019-01-01,4
"UK","COMPLET","Y20-24","NR","T","IE",2019-01-01,6
"UK","COMPLET","Y20-24","NR","T","IS",2019-01-01,0
"UK","COMPLET","Y20-24","NR","T","LI",2019-01-01,0
"UK","COMPLET","Y20-24","NR","T","LT",2019-01-01,0
"UK","COMPLET","Y20-24","NR","T","LU",2019-01-01,17
"UK","COMPLET","Y20-24","NR","T","MT",2019-01-01,6
"UK","COMPLET","Y20-24","NR","T","NO",2019-01-01,0
"UK","COMPLET","Y20-24","NR","T","PL",2019-01-01,0
"UK","COMPLET","Y20-24","NR","T","PT",2019-01-01,2
"UK","COMPLET","Y20-24","NR","T","SE",2019-01-01,50
"UK","COMPLET","Y20-24","NR","T","SI",2019-01-01,0
"UK","COMPLET","Y20-24","NR","T","UK",2019-01-01,0
"UK","COMPLET","Y25-29","NR","F","AT",2019-01-01,1
"UK","COMPLET","Y25-29","NR","F","BE",2019-01-01,25
"UK","COMPLET","Y25-29","NR","F","BG",2019-01-01,0
"UK","COMPLET","Y25-29","NR","F","DE",2019-01-01,175
"UK","COMPLET","Y25-29","NR","F","ES",2019-01-01,2
